Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,12-22-2001,23:00,METAR,,350,33.0,40.0,350/41KTS,100.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-10.0,-10.0,29.76,1009.9,,,,71,38,0,,,,,,,,,8/8 Overcast,500.0,,BKN,500.0,OVC,1800.0,,,,
KRDR,12-22-2001,22:35,SPECI,,350,34.0,38.0,,100.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-10.0,-10.0,29.75,,,,,71,38,0,,,,,,,,,8/8 Overcast,500.0,,BKN,500.0,OVC,1000.0,,,,
KRDR,12-22-2001,22:00,METAR,,350,33.0,41.0,,100.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-8.0,-8.0,29.71,1007.9,,,,71,38,0,,,,,,,,,8/8 Overcast,900.0,,BKN,900.0,OVC,1500.0,,,,
KRDR,12-22-2001,21:32,SPECI,,350,34.0,,,100.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-8.0,-8.0,29.70,,,,,71,38,0,,,,,,,,,8/8 Overcast,900.0,,OVC,900.0,,,,,,
KRDR,12-22-2001,21:00,METAR,,350,33.0,39.0,,600.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-7.0,-7.0,29.68,1007.1,,,,71,38,0,,,,,,,,,8/8 Overcast,1400.0,,OVC,1400.0,,,,,,
KRDR,12-22-2001,20:08,SPECI,,350,28.0,37.0,,600.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-6.0,-6.0,29.65,,,,,71,38,0,,,,,,,,,8/8 Overcast,1400.0,,SCT,800.0,OVC,1400.0,,,,
KRDR,12-22-2001,20:00,METAR,,350,27.0,35.0,360/38KTS,1200.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-6.0,-6.0,29.63,1005.3,,,,71,38,0,,,,,,,,,8/8 Overcast,1400.0,,SCT,800.0,OVC,1400.0,,,,
KRDR,12-22-2001,19:00,METAR,,360,25.0,37.0,,400.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-6.0,-6.0,29.62,1004.7,,,,71,38,0,,,,,,,,,8/8 Overcast,800.0,,OVC,800.0,,,,,,
KRDR,12-22-2001,18:47,SPECI,,350,29.0,35.0,,400.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-5.0,-5.0,29.61,,,,,71,38,0,,,,,,,,,8/8 Overcast,800.0,,OVC,800.0,,,,,,
KRDR,12-22-2001,18:18,SPECI,,350,28.0,34.0,,800.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-5.0,-5.0,29.61,,,,,71,38,0,,,,,,,,,8/8 Overcast,800.0,,OVC,800.0,,,,,,
KRDR,12-22-2001,18:00,METAR,,350,24.0,,,1600.0,Light Snow/Blowing Snow/Cloud Development Not Observable,-3.0,-3.0,29.61,1004.2,,,,71,38,0,,,,,,,,,8/8 Overcast,800.0,,OVC,800.0,,,,,,
KRDR,12-22-2001,17:00,METAR,,360,5.0,,,3200.0,Snow Grains/Mist/Cloud Development Not Observable,-4.0,-4.0,29.62,1004.8,,,,77,10,0,,,,,,,,,8/8 Overcast,500.0,,BKN,500.0,OVC,1100.0,,,,
KRDR,12-22-2001,16:00,METAR,,30,5.0,,,4800.0,Snow Grains/Mist/Cloud Development Not Observable,-5.0,-5.0,29.62,1004.8,,,,77,10,0,,,,,,,,,8/8 Overcast,1100.0,,SCT,500.0,OVC,1100.0,,,,
KRDR,12-22-2001,15:35,SPECI,,,5.0,,,8000.0,Snow Grains/Cloud Development Not Observable,-5.0,-5.0,29.62,,,,,77,0,0,,,,,,,,,8/8 Overcast,1100.0,,SCT,500.0,OVC,1100.0,,,,
KRDR,12-22-2001,15:00,METAR,,,3.0,,,9999.0,Cloud Development Not Observable,-5.0,-5.0,29.61,1004.3,,,,0,0,0,,,,,,,,,8/8 Overcast,1500.0,,BKN,1500.0,BKN,3600.0,OVC,15000.0,,
KRDR,12-22-2001,14:00,METAR,,190,5.0,,,9999.0,Cloud Development Not Observable,-5.0,-5.0,29.59,1003.8,,,,0,0,0,,,,,,,,,8/8 Overcast,1200.0,,BKN,1200.0,OVC,3500.0,,,,
KRDR,12-22-2001,13:00,METAR,,260,3.0,,,9999.0,Cloud Development Not Observable,-5.0,-5.0,29.59,1003.7,,,,0,0,0,,,,,,,,,8/8 Overcast,1000.0,,BKN,1000.0,OVC,3000.0,,,,
KRDR,12-22-2001,12:00,METAR,,280,9.0,,,9999.0,Cloud Development Not Observable,-5.0,-5.0,29.60,1004.0,,,,0,0,0,,,,,,,,,8/8 Overcast,1000.0,,OVC,1000.0,,,,,,
KRDR,12-22-2001,11:00,METAR,,270,12.0,,,9999.0,Cloud Development Not Observable,-5.0,-5.0,29.61,1004.3,,,,0,0,0,,,,,,,,,8/8 Overcast,1500.0,,BKN,1500.0,OVC,3000.0,,,,
KRDR,12-22-2001,10:34,SPECI,,270,10.0,,,9999.0,Cloud Development Not Observable,-5.0,-5.0,29.61,,,,,0,0,0,,,,,,,,,8/8 Overcast,1500.0,,BKN,1500.0,OVC,3500.0,,,,
KRDR,12-22-2001,10:00,METAR,,270,10.0,,,9999.0,Cloud Development Not Observable,-4.0,-4.0,29.61,1004.2,,,,0,0,0,,,,,,,,,8/8 Overcast,2500.0,,SCT,1500.0,OVC,2500.0,,,,
KRDR,12-22-2001,09:00,METAR,,270,10.0,,,9999.0,Cloud Development Not Observable,-4.0,-4.0,29.61,1004.4,,,,0,0,0,,,,,,,,,8/8 Overcast,2500.0,,SCT,1500.0,OVC,2500.0,,,,
KRDR,12-22-2001,08:00,METAR,,270,10.0,,,9999.0,Cloud Development Not Observable,-3.0,-3.0,29.61,1004.2,,,,0,0,0,,,,,,,,,8/8 Overcast,2500.0,,BKN,2500.0,OVC,4000.0,,,,
KRDR,12-22-2001,07:00,METAR,,280,10.0,,,9999.0,Cloud Development Not Observable,-3.0,-3.0,29.62,1004.6,,,,0,0,0,,,,,,,,,8/8 Overcast,2500.0,,SCT,1500.0,OVC,2500.0,,,,
KRDR,12-22-2001,06:00,METAR,,170,8.0,,,9999.0,Cloud Development Not Observable,-2.0,-2.0,29.62,1004.8,,,,0,0,0,,,,,,,,,8/8 Overcast,2500.0,,SCT,1500.0,OVC,2500.0,,,,
KRDR,12-22-2001,05:32,SPECI,,180,9.0,,,9999.0,Cloud Development Not Observable,-1.0,-1.0,29.63,,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,2500.0,,BKN,2500.0,,,,,,
KRDR,12-22-2001,05:00,METAR,,150,9.0,,,9999.0,Cloud Development Not Observable,-1.0,-1.0,29.63,1005.1,,,,0,0,0,,,,,,,,,8/8 Overcast,3900.0,,OVC,4000.0,,,,,,
KRDR,12-22-2001,04:00,METAR,,130,11.0,,,9999.0,Cloud Development Not Observable,-2.0,-2.0,29.64,1005.4,,,,0,0,0,,,,,,,,,8/8 Overcast,3900.0,,OVC,4000.0,,,,,,
KRDR,12-22-2001,03:00,METAR,,140,10.0,,,9999.0,Cloud Development Not Observable,-2.0,-2.0,29.66,1006.2,,,,0,0,0,,,,,,,,,8/8 Overcast,4400.0,,BKN,4500.0,OVC,6400.0,,,,
KRDR,12-22-2001,02:00,METAR,,140,11.0,,,9999.0,Cloud Development Not Observable,-2.0,-2.0,29.68,1006.9,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,20000.0,,SCT,4500.0,BKN,20000.0,,,,
KRDR,12-22-2001,01:00,METAR,,140,9.0,,,9999.0,Cloud Development Not Observable,-3.0,-3.0,29.70,1007.7,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,SCT,4500.0,SCT,20000.0,,,,
KRDR,12-22-2001,00:00,METAR,,150,10.0,,,9999.0,Cloud Development Not Observable,-3.0,-3.0,29.71,1007.9,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,FEW,5400.0,SCT,20000.0,,,,
KRDR,12-21-2001,23:00,METAR,,150,14.0,,,9999.0,Cloud Development Not Observable,-1.0,-3.0,29.73,1008.6,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,FEW,5400.0,SCT,20000.0,,,,
KRDR,12-21-2001,22:00,METAR,,160,21.0,26.0,160/27KTS,9999.0,Cloud Development Not Observable,0.0,-3.0,29.73,1008.6,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,20000.0,,FEW,5000.0,BKN,20000.0,,,,
KRDR,12-21-2001,21:00,METAR,,160,19.0,25.0,160/28KTS,9999.0,Cloud Development Not Observable,-1.0,-4.0,29.76,1009.8,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,20000.0,,FEW,5900.0,BKN,20000.0,,,,
KRDR,12-21-2001,20:00,METAR,,160,25.0,,150/30KTS,9999.0,Cloud Development Not Observable,-1.0,-5.0,29.80,1011.2,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,20000.0,,FEW,9900.0,BKN,20000.0,,,,
KRDR,12-21-2001,19:00,METAR,,150,16.0,,,9999.0,Cloud Development Not Observable,-3.0,-5.0,29.86,1013.4,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,20000.0,,FEW,9900.0,BKN,20000.0,,,,
KRDR,12-21-2001,18:00,METAR,,150,19.0,24.0,150/25KTS,9999.0,Cloud Development Not Observable,-4.0,-6.0,29.91,1015.2,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,20000.0,,SCT,9900.0,BKN,20000.0,,,,
KRDR,12-21-2001,16:00,METAR,,130,13.0,,,9999.0,Cloud Development Not Observable,-6.0,-6.0,30.00,1018.4,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,10000.0,,BKN,9900.0,BKN,20000.0,,,,
KRDR,12-21-2001,15:00,METAR,,160,10.0,,,9999.0,Cloud Development Not Observable,-8.0,-8.0,30.05,1020.3,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,10000.0,,BKN,9900.0,BKN,20000.0,,,,
KRDR,12-21-2001,14:00,METAR,,150,11.0,,,9999.0,Cloud Development Not Observable,-9.0,-9.0,30.06,1020.4,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,10000.0,,BKN,9900.0,BKN,20000.0,,,,
KRDR,12-21-2001,13:00,METAR,,120,8.0,,,9999.0,Cloud Development Not Observable,-10.0,-10.0,30.08,1020.9,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,20000.0,,SCT,11000.0,BKN,20000.0,,,,
KRDR,12-21-2001,12:00,METAR,,150,7.0,,,9999.0,Cloud Development Not Observable,-12.0,-12.0,30.11,1022.2,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,20000.0,,SCT,9900.0,BKN,20000.0,,,,
KRDR,12-21-2001,11:00,METAR,,130,7.0,,,9999.0,Cloud Development Not Observable,-13.0,-13.0,30.14,1023.3,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,FEW,7900.0,SCT,20000.0,,,,
KRDR,12-21-2001,10:00,METAR,,110,4.0,,,9999.0,Cloud Development Not Observable,-13.0,-13.0,30.18,1024.4,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,FEW,7900.0,SCT,20000.0,,,,
KRDR,12-21-2001,09:00,METAR,,210,4.0,,,9999.0,Cloud Development Not Observable,-15.0,-15.0,30.21,1025.7,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,FEW,8900.0,SCT,20000.0,,,,
KRDR,12-21-2001,08:00,METAR,,,2.0,,,9999.0,Cloud Development Not Observable,-16.0,-16.0,30.21,1025.7,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,SCT,20000.0,,,,,,
KRDR,12-21-2001,07:00,METAR,,,3.0,,,9999.0,Cloud Development Not Observable,-15.0,-15.0,30.24,1026.6,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,20000.0,,FEW,5900.0,BKN,20000.0,,,,
KRDR,12-21-2001,06:00,METAR,,,2.0,,,9999.0,Cloud Development Not Observable,-16.0,-16.0,30.25,1027.2,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,FEW,5900.0,SCT,20000.0,,,,
KRDR,12-21-2001,05:00,METAR,,,3.0,,,9999.0,Cloud Development Not Observable,-15.0,-15.0,30.26,1027.4,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-21-2001,04:00,METAR,,270,4.0,,,9999.0,Cloud Development Not Observable,-16.0,-16.0,30.28,1028.2,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-21-2001,03:00,METAR,,270,4.0,,,9999.0,Cloud Development Not Observable,-16.0,-16.0,30.28,1028.1,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-21-2001,02:00,METAR,,330,5.0,,,9999.0,Cloud Development Not Observable,-14.0,-14.0,30.28,1028.0,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-21-2001,01:00,METAR,,340,6.0,,,9999.0,Cloud Development Not Observable,-13.0,-13.0,30.28,1028.1,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-21-2001,00:00,METAR,,320,7.0,,,9999.0,Cloud Development Not Observable,-13.0,-13.0,30.28,1028.2,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-20-2001,23:00,METAR,,340,6.0,,,9999.0,Cloud Development Not Observable,-12.0,-12.0,30.27,1027.6,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-20-2001,22:00,METAR,,340,8.0,,,9999.0,Cloud Development Not Observable,-9.0,-9.0,30.26,1027.2,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-20-2001,21:00,METAR,,350,12.0,,,9999.0,Cloud Development Not Observable,-8.0,-8.0,30.23,1026.1,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-20-2001,20:00,METAR,,350,12.0,,,9999.0,Cloud Development Not Observable,-8.0,-8.0,30.21,1025.4,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-20-2001,18:00,METAR,,330,12.0,,,9999.0,Cloud Development Not Observable,-10.0,-10.0,30.20,1025.2,,,,0,0,0,,,,,,,,,Clear,72000.0,,,73000.0,,,,,,
KRDR,12-20-2001,17:00,METAR,,340,11.0,,,9999.0,Cloud Development Not Observable,-11.0,-11.0,30.18,1024.5,,,,0,0,0,,,,,,,,,2/8 Mostly Clear,72000.0,,FEW,6400.0,,,,,,
KRDR,12-20-2001,16:00,METAR,,330,7.0,,,9999.0,Cloud Development Not Observable,-13.0,-13.0,30.14,1023.3,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,SCT,6400.0,,,,,,
KRDR,12-20-2001,15:00,METAR,,320,8.0,,,9999.0,Cloud Development Not Observable,-14.0,-14.0,30.11,1022.3,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,SCT,6400.0,SCT,20000.0,,,,
KRDR,12-20-2001,14:00,METAR,,330,8.0,,,9999.0,Cloud Development Not Observable,-14.0,-14.0,30.10,1021.7,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,6500.0,,BKN,6400.0,,,,,,
KRDR,12-20-2001,13:00,METAR,,310,6.0,,,9999.0,Cloud Development Not Observable,-14.0,-14.0,30.06,1020.8,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,20000.0,,FEW,2500.0,SCT,6400.0,BKN,20000.0,,
KRDR,12-20-2001,12:00,METAR,,350,5.0,,,9999.0,Cloud Development Not Observable,-16.0,-16.0,30.05,1020.1,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,SCT,6900.0,SCT,20000.0,,,,
KRDR,12-20-2001,11:00,METAR,,,4.0,,,9999.0,Cloud Development Not Observable,-16.0,-16.0,30.04,1019.7,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,SCT,6900.0,SCT,20000.0,,,,
KRDR,12-20-2001,10:00,METAR,,,3.0,,,9999.0,Cloud Development Not Observable,-14.0,-14.0,30.02,1019.0,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,7000.0,,FEW,2500.0,BKN,6900.0,,,,
KRDR,12-20-2001,09:00,METAR,,260,6.0,,,9999.0,Cloud Development Not Observable,-15.0,-15.0,30.02,1019.0,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,SCT,8900.0,SCT,20000.0,,,,
KRDR,12-20-2001,08:00,METAR,,340,4.0,,,9999.0,Cloud Development Not Observable,-14.0,-14.0,30.00,1018.3,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,FEW,7900.0,SCT,20000.0,,,,
KRDR,12-20-2001,07:00,METAR,,250,5.0,,,9999.0,Cloud Development Not Observable,-15.0,-15.0,30.01,1018.4,,,,0,0,0,,,,,,,,,2/8 Mostly Clear,72000.0,,FEW,20000.0,,,,,,
