Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,11-27-2007,23:00,METAR,,100,6,,,9999,,-17.0,-21.0,30.21,1023.5,,,,,,,,,,,,,,,8/8 Overcast,11000.0,,FEW,3600.0,SCT,6400.0,BKN,11000.0,OVC,20000.0
KRDR,11-27-2007,22:00,METAR,,130,7,,,9999,,-17.0,-21.0,30.21,1023.6,,,,,,,,,,,,,,,8/8 Overcast,20000.0,,FEW,5900.0,SCT,8900.0,OVC,20000.0,,
KRDR,11-27-2007,21:00,METAR,,130,7,,,9999,,-18.0,-22.0,30.25,1024.8,,,,,,,,,,,,,,,8/8 Overcast,12000.0,,FEW,6400.0,OVC,12000.0,,,,
KRDR,11-27-2007,20:00,METAR,,110,6,,,9999,,-18.0,-22.0,30.26,1025.1,,,,,,,,,,,,,,,8/8 Overcast,12000.0,,SCT,5900.0,BKN,12000.0,OVC,20000.0,,
KRDR,11-27-2007,19:00,METAR,,160,11,,,9999,,-18.0,-22.0,30.31,1026.8,,,,,,,,,,,,,,,8/8 Overcast,12000.0,,SCT,6900.0,BKN,12000.0,OVC,20000.0,,
KRDR,11-27-2007,18:00,METAR,,140,8,,,9999,,-18.0,-24.0,30.31,1027.1,,,,,,,,,,,,,,,8/8 Overcast,20000.0,,FEW,7900.0,SCT,12000.0,OVC,20000.0,,
KRDR,11-27-2007,17:00,METAR,,140,6,,,9999,,-19.0,-24.0,30.37,1028.8,,,,,,,,,,,,,,,7/8 Mostly Cloudy,20000.0,,SCT,12000.0,BKN,20000.0,,,,
KRDR,11-27-2007,16:00,METAR,,,0,,,9999,,-20.0,-25.0,30.36,1028.7,,,,,,,,,,,,,,,7/8 Mostly Cloudy,20000.0,,SCT,12000.0,BKN,20000.0,,,,
KRDR,11-27-2007,15:00,METAR,,,0,,,9999,,-21.0,-26.0,30.39,1029.5,,,,,,,,,,,,,,,7/8 Mostly Cloudy,12000.0,,BKN,12000.0,BKN,25000.0,,,,
KRDR,11-27-2007,14:00,METAR,,280,4,,,9999,,-24.0,-28.0,30.39,1029.5,,,,,,,,,,,,,,,4/8 Partly Cloudy,72000.0,,FEW,12000.0,SCT,25000.0,,,,
